cohort,seed,centroid_dist_3d
full,0,0.5952620951502184
full,1,0.5183574582084493
full,2,0.25988422380753357
full,3,1.4936004662837035
full,4,0.17136705927884788
full,5,0.5517630185948375
full,6,0.031146363575821765
full,7,0.22544460327214988
full,8,0.6617233670899805
full,9,0.3502525512112864
full,10,3.248131923846387
full,11,1.376860453541982
full,12,0.11052585123304318
full,13,0.21403993919675643
full,14,0.09945336660734448
full,15,0.31262621125247064
full,16,0.11442898021049427
full,17,0.34879772458311775
full,18,0.5014623956590708
full,19,0.5856732614860227
full,20,1.3899348988991926
full,21,0.028526328374131712
full,22,0.22108859699406913
full,23,0.05695661094396398
full,24,0.3296870882022047
full,25,0.10048343725560764
full,26,0.43089452623837554
full,27,0.5257561887510157
full,28,0.1494869695759173
full,29,0.12355914632747027
no_body_in_g,0,0.03686786365745569
no_body_in_g,1,0.09498809533402337
no_body_in_g,2,0.09373838832497167
no_body_in_g,3,0.028107677085565604
no_body_in_g,4,0.10111758210491142
no_body_in_g,5,0.09708087501821915
no_body_in_g,6,0.176920157720148
no_body_in_g,7,0.04823239438016413
no_body_in_g,8,0.02048728754586931
no_body_in_g,9,0.06441845336498946
no_body_in_g,10,0.1642223890667867
no_body_in_g,11,0.024627982166871874
no_body_in_g,12,0.11747496931645748
no_body_in_g,13,0.033460968329631184
no_body_in_g,14,0.02000966020245053
no_body_in_g,15,0.03790801598286833
no_body_in_g,16,0.08854895900180415
no_body_in_g,17,0.08967492158271928
no_body_in_g,18,0.13266143361650273
no_body_in_g,19,0.035540951569395504
no_body_in_g,20,0.06277682416680436
no_body_in_g,21,0.011807631597216256
no_body_in_g,22,0.07956012806320582
no_body_in_g,23,0.13100246099071228
no_body_in_g,24,0.06871253630368408
no_body_in_g,25,0.1112662665573199
no_body_in_g,26,0.011391744221198307
no_body_in_g,27,0.017955058337433633
no_body_in_g,28,0.21348283571672821
no_body_in_g,29,0.1344286716540726
no_conative,0,0.15414115260764646
no_conative,1,0.18170773844850133
no_conative,2,0.12197199588701041
no_conative,3,0.2768472608031138
no_conative,4,0.19311010048029803
no_conative,5,0.5800893533609771
no_conative,6,0.19175737961546024
no_conative,7,0.19435100750916387
no_conative,8,0.07080042129716185
no_conative,9,0.28711048121721394
no_conative,10,0.23662739662002535
no_conative,11,0.08783118433129541
no_conative,12,0.11868654198112823
no_conative,13,0.497850470788654
no_conative,14,0.023709205969507343
no_conative,15,0.1154973146508262
no_conative,16,0.5202801302551846
no_conative,17,0.33036630401176664
no_conative,18,1.4227730868550197
no_conative,19,0.458291904105511
no_conative,20,0.16546383619258176
no_conative,21,0.2771295031108296
no_conative,22,0.36792203968005543
no_conative,23,0.021929543713873036
no_conative,24,0.33565373488611505
no_conative,25,0.10542846390728217
no_conative,26,0.3609569589855164
no_conative,27,1.1933495018857014
no_conative,28,0.09364260044781131
no_conative,29,0.295548924418828
