cohort,seed,perturb_metric_spectral_l2
full,0,0.42711811639124475
full,1,3.3857834658230757
full,2,0.591173469256731
full,3,21.11825319149269
full,4,0.536267111796926
full,5,0.6692490320137618
full,6,0.05738839612900768
full,7,0.13905008667699323
full,8,0.6767950630872069
full,9,0.17077282630003696
full,10,6.294352854755555
full,11,8.500341593058222
full,12,0.25909370802390175
full,13,0.08616345665181568
full,14,0.27246922580973254
full,15,1.0641747939467194
full,16,0.08100333911903229
full,17,0.8740400021935006
full,18,0.6122076360364281
full,19,0.5864564196406197
full,20,1.7651233813003742
full,21,0.05058332974091488
full,22,0.8681110655497277
full,23,0.04544503515973809
full,24,1.6698539591453074
full,25,0.11894831505821468
full,26,0.39732118936844285
full,27,0.30822161108872587
full,28,0.27646577853546433
full,29,0.06659925108908521
no_body_in_g,0,0.015535037787509467
no_body_in_g,1,0.06960063559366854
no_body_in_g,2,0.11974668449630843
no_body_in_g,3,0.05472479923921444
no_body_in_g,4,0.027729861042269547
no_body_in_g,5,0.06862118088430458
no_body_in_g,6,0.08373044700792541
no_body_in_g,7,0.01506268048304993
no_body_in_g,8,0.01887909235114786
no_body_in_g,9,0.04499485288616448
no_body_in_g,10,0.025962044309784042
no_body_in_g,11,0.02164221262367057
no_body_in_g,12,0.038352819889506506
no_body_in_g,13,0.049343928947787344
no_body_in_g,14,0.010217423599285062
no_body_in_g,15,0.008406272332348563
no_body_in_g,16,0.5338088364815066
no_body_in_g,17,0.021695705279596435
no_body_in_g,18,0.04222756784728994
no_body_in_g,19,0.03126007765327383
no_body_in_g,20,0.12136830245404734
no_body_in_g,21,0.004056633178118981
no_body_in_g,22,0.029784430931540595
no_body_in_g,23,0.041304714964241526
no_body_in_g,24,0.060169778117214946
no_body_in_g,25,0.029500647150735384
no_body_in_g,26,0.014388560944746834
no_body_in_g,27,0.0049544785590028935
no_body_in_g,28,0.025641314806942796
no_body_in_g,29,0.02526451240523981
no_conative,0,0.12073744710351393
no_conative,1,0.3693632667074889
no_conative,2,0.1016636544809955
no_conative,3,0.055939181748584366
no_conative,4,1.4352466675462996
no_conative,5,0.2868038148886869
no_conative,6,0.12109875378013209
no_conative,7,0.2949114720815776
no_conative,8,0.10009776291466156
no_conative,9,0.4902125840627447
no_conative,10,1.5524375821984777
no_conative,11,0.1116629728399941
no_conative,12,0.023238740861866437
no_conative,13,2.8438435319320465
no_conative,14,0.0270721316266294
no_conative,15,0.34561517745451714
no_conative,16,0.5658369328009223
no_conative,17,5.8010345146240345
no_conative,18,3.966816844913061
no_conative,19,2.6433136026595117
no_conative,20,0.5687005966190543
no_conative,21,0.6319275408400624
no_conative,22,0.5399731224137488
no_conative,23,0.3959347769365367
no_conative,24,0.2365346383447065
no_conative,25,1.7594742790934448
no_conative,26,2.413878550622334
no_conative,27,0.22267396553213706
no_conative,28,0.2709410806192656
no_conative,29,0.1471563045787842
