cohort,seed,recovery_mean_pc3_distance
full,0,0.6097515607167636
full,1,0.6100238376554977
full,2,0.3270473189949359
full,3,1.5028649471063655
full,4,0.18425905872541265
full,5,0.607379139180804
full,6,0.038211369030481473
full,7,0.24517191503890076
full,8,0.6709265151421716
full,9,0.3506721061970168
full,10,3.282030509636442
full,11,1.535184273302826
full,12,0.11150040842916815
full,13,0.22785253948421333
full,14,0.1041302808867609
full,15,0.31473090578560375
full,16,0.27791008906690634
full,17,0.39537001011313466
full,18,0.5050336789717709
full,19,0.5862063296050837
full,20,1.4035343330299792
full,21,0.07168155758658612
full,22,0.22627486123182833
full,23,0.05922702248895212
full,24,0.40001097036860306
full,25,0.15983317317837176
full,26,0.44115039739000866
full,27,0.551952205200782
full,28,0.16962272316300048
full,29,0.1911940696129895
no_body_in_g,0,0.03692687470895288
no_body_in_g,1,0.09620988128342138
no_body_in_g,2,0.09543242090472524
no_body_in_g,3,0.028623139222395518
no_body_in_g,4,0.10399462769722527
no_body_in_g,5,0.0971344703290919
no_body_in_g,6,0.17748052668298603
no_body_in_g,7,0.04824462633313474
no_body_in_g,8,0.020877736040225654
no_body_in_g,9,0.06456514929814047
no_body_in_g,10,0.1665969288623494
no_body_in_g,11,0.024985923082046887
no_body_in_g,12,0.1179818945645966
no_body_in_g,13,0.0335690148009042
no_body_in_g,14,0.020528969687967805
no_body_in_g,15,0.03822116165215346
no_body_in_g,16,0.08874081435337224
no_body_in_g,17,0.0902325029582475
no_body_in_g,18,0.13563563583797014
no_body_in_g,19,0.03641284674376062
no_body_in_g,20,0.06439566134230498
no_body_in_g,21,0.013079184572778674
no_body_in_g,22,0.08105094925767217
no_body_in_g,23,0.13108989934749177
no_body_in_g,24,0.06880283763972565
no_body_in_g,25,0.11803831237067239
no_body_in_g,26,0.012244414080163909
no_body_in_g,27,0.018037420448885053
no_body_in_g,28,0.2142001487993302
no_body_in_g,29,0.1348402013960344
no_conative,0,0.15854048825852232
no_conative,1,0.18575709376929564
no_conative,2,0.12948361797977198
no_conative,3,0.30014485961118215
no_conative,4,0.23576833235311084
no_conative,5,0.5862569525967696
no_conative,6,0.20232038745077113
no_conative,7,0.1957242943788526
no_conative,8,0.08764404085909626
no_conative,9,0.30262110521952634
no_conative,10,0.25778782810935313
no_conative,11,0.1088598105975687
no_conative,12,0.11907669178739518
no_conative,13,0.5120229576252158
no_conative,14,0.026098302580051386
no_conative,15,0.12980462034997503
no_conative,16,0.5310158971618018
no_conative,17,0.3367672333236391
no_conative,18,1.4265843259541404
no_conative,19,0.45955313306839846
no_conative,20,0.19247521332384354
no_conative,21,0.2821643175761918
no_conative,22,0.3724602101526727
no_conative,23,0.0457086912723933
no_conative,24,0.33585503080550305
no_conative,25,0.11078923341865468
no_conative,26,0.3616212892469966
no_conative,27,1.1962003961029113
no_conative,28,0.10786332303420958
no_conative,29,0.29732905270457316
