cohort,seed,condition,outdir,status
full,0,control,outputs/p3_v3_assay/full/s0/control,done
full,0,body_shock,outputs/p3_v3_assay/full/s0/body_shock,done
full,1,control,outputs/p3_v3_assay/full/s1/control,done
full,1,body_shock,outputs/p3_v3_assay/full/s1/body_shock,done
full,2,body_shock,outputs/p3_v3_assay/full/s2/body_shock,done
full,2,control,outputs/p3_v3_assay/full/s2/control,done
full,3,body_shock,outputs/p3_v3_assay/full/s3/body_shock,done
full,3,control,outputs/p3_v3_assay/full/s3/control,done
full,4,control,outputs/p3_v3_assay/full/s4/control,done
full,4,body_shock,outputs/p3_v3_assay/full/s4/body_shock,done
full,5,control,outputs/p3_v3_assay/full/s5/control,done
full,5,body_shock,outputs/p3_v3_assay/full/s5/body_shock,done
full,6,body_shock,outputs/p3_v3_assay/full/s6/body_shock,done
full,6,control,outputs/p3_v3_assay/full/s6/control,done
full,7,control,outputs/p3_v3_assay/full/s7/control,done
full,7,body_shock,outputs/p3_v3_assay/full/s7/body_shock,done
full,8,body_shock,outputs/p3_v3_assay/full/s8/body_shock,done
full,8,control,outputs/p3_v3_assay/full/s8/control,done
full,9,body_shock,outputs/p3_v3_assay/full/s9/body_shock,done
full,9,control,outputs/p3_v3_assay/full/s9/control,done
full,10,control,outputs/p3_v3_assay/full/s10/control,done
full,10,body_shock,outputs/p3_v3_assay/full/s10/body_shock,done
full,11,control,outputs/p3_v3_assay/full/s11/control,done
full,11,body_shock,outputs/p3_v3_assay/full/s11/body_shock,done
full,12,control,outputs/p3_v3_assay/full/s12/control,done
full,12,body_shock,outputs/p3_v3_assay/full/s12/body_shock,done
full,13,body_shock,outputs/p3_v3_assay/full/s13/body_shock,done
full,13,control,outputs/p3_v3_assay/full/s13/control,done
full,14,control,outputs/p3_v3_assay/full/s14/control,done
full,14,body_shock,outputs/p3_v3_assay/full/s14/body_shock,done
full,15,control,outputs/p3_v3_assay/full/s15/control,done
full,15,body_shock,outputs/p3_v3_assay/full/s15/body_shock,done
full,16,control,outputs/p3_v3_assay/full/s16/control,done
full,16,body_shock,outputs/p3_v3_assay/full/s16/body_shock,done
full,17,control,outputs/p3_v3_assay/full/s17/control,done
full,17,body_shock,outputs/p3_v3_assay/full/s17/body_shock,done
full,18,body_shock,outputs/p3_v3_assay/full/s18/body_shock,done
full,18,control,outputs/p3_v3_assay/full/s18/control,done
full,19,body_shock,outputs/p3_v3_assay/full/s19/body_shock,done
full,19,control,outputs/p3_v3_assay/full/s19/control,done
full,20,body_shock,outputs/p3_v3_assay/full/s20/body_shock,done
full,20,control,outputs/p3_v3_assay/full/s20/control,done
full,21,control,outputs/p3_v3_assay/full/s21/control,done
full,21,body_shock,outputs/p3_v3_assay/full/s21/body_shock,done
full,22,control,outputs/p3_v3_assay/full/s22/control,done
full,22,body_shock,outputs/p3_v3_assay/full/s22/body_shock,done
full,23,body_shock,outputs/p3_v3_assay/full/s23/body_shock,done
full,23,control,outputs/p3_v3_assay/full/s23/control,done
full,24,body_shock,outputs/p3_v3_assay/full/s24/body_shock,done
full,24,control,outputs/p3_v3_assay/full/s24/control,done
full,25,control,outputs/p3_v3_assay/full/s25/control,done
full,25,body_shock,outputs/p3_v3_assay/full/s25/body_shock,done
full,26,body_shock,outputs/p3_v3_assay/full/s26/body_shock,done
full,26,control,outputs/p3_v3_assay/full/s26/control,done
full,27,control,outputs/p3_v3_assay/full/s27/control,done
full,27,body_shock,outputs/p3_v3_assay/full/s27/body_shock,done
full,28,body_shock,outputs/p3_v3_assay/full/s28/body_shock,done
full,28,control,outputs/p3_v3_assay/full/s28/control,done
full,29,control,outputs/p3_v3_assay/full/s29/control,done
full,29,body_shock,outputs/p3_v3_assay/full/s29/body_shock,done
no_body_in_g,0,control,outputs/p3_v3_assay/no_body_in_g/s0/control,done
no_body_in_g,0,body_shock,outputs/p3_v3_assay/no_body_in_g/s0/body_shock,done
no_body_in_g,1,body_shock,outputs/p3_v3_assay/no_body_in_g/s1/body_shock,done
no_body_in_g,1,control,outputs/p3_v3_assay/no_body_in_g/s1/control,done
no_body_in_g,2,control,outputs/p3_v3_assay/no_body_in_g/s2/control,done
no_body_in_g,2,body_shock,outputs/p3_v3_assay/no_body_in_g/s2/body_shock,done
no_body_in_g,3,control,outputs/p3_v3_assay/no_body_in_g/s3/control,done
no_body_in_g,3,body_shock,outputs/p3_v3_assay/no_body_in_g/s3/body_shock,done
no_body_in_g,4,control,outputs/p3_v3_assay/no_body_in_g/s4/control,done
no_body_in_g,4,body_shock,outputs/p3_v3_assay/no_body_in_g/s4/body_shock,done
no_body_in_g,5,body_shock,outputs/p3_v3_assay/no_body_in_g/s5/body_shock,done
no_body_in_g,5,control,outputs/p3_v3_assay/no_body_in_g/s5/control,done
no_body_in_g,6,body_shock,outputs/p3_v3_assay/no_body_in_g/s6/body_shock,done
no_body_in_g,6,control,outputs/p3_v3_assay/no_body_in_g/s6/control,done
no_body_in_g,7,body_shock,outputs/p3_v3_assay/no_body_in_g/s7/body_shock,done
no_body_in_g,7,control,outputs/p3_v3_assay/no_body_in_g/s7/control,done
no_body_in_g,8,control,outputs/p3_v3_assay/no_body_in_g/s8/control,done
no_body_in_g,8,body_shock,outputs/p3_v3_assay/no_body_in_g/s8/body_shock,done
no_body_in_g,9,body_shock,outputs/p3_v3_assay/no_body_in_g/s9/body_shock,done
no_body_in_g,9,control,outputs/p3_v3_assay/no_body_in_g/s9/control,done
no_body_in_g,10,control,outputs/p3_v3_assay/no_body_in_g/s10/control,done
no_body_in_g,10,body_shock,outputs/p3_v3_assay/no_body_in_g/s10/body_shock,done
no_body_in_g,11,control,outputs/p3_v3_assay/no_body_in_g/s11/control,done
no_body_in_g,11,body_shock,outputs/p3_v3_assay/no_body_in_g/s11/body_shock,done
no_body_in_g,12,body_shock,outputs/p3_v3_assay/no_body_in_g/s12/body_shock,done
no_body_in_g,12,control,outputs/p3_v3_assay/no_body_in_g/s12/control,done
no_body_in_g,13,body_shock,outputs/p3_v3_assay/no_body_in_g/s13/body_shock,done
no_body_in_g,13,control,outputs/p3_v3_assay/no_body_in_g/s13/control,done
no_body_in_g,14,control,outputs/p3_v3_assay/no_body_in_g/s14/control,done
no_body_in_g,14,body_shock,outputs/p3_v3_assay/no_body_in_g/s14/body_shock,done
no_body_in_g,15,body_shock,outputs/p3_v3_assay/no_body_in_g/s15/body_shock,done
no_body_in_g,15,control,outputs/p3_v3_assay/no_body_in_g/s15/control,done
no_body_in_g,16,control,outputs/p3_v3_assay/no_body_in_g/s16/control,done
no_body_in_g,16,body_shock,outputs/p3_v3_assay/no_body_in_g/s16/body_shock,done
no_body_in_g,17,control,outputs/p3_v3_assay/no_body_in_g/s17/control,done
no_body_in_g,17,body_shock,outputs/p3_v3_assay/no_body_in_g/s17/body_shock,done
no_body_in_g,18,body_shock,outputs/p3_v3_assay/no_body_in_g/s18/body_shock,done
no_body_in_g,18,control,outputs/p3_v3_assay/no_body_in_g/s18/control,done
no_body_in_g,19,body_shock,outputs/p3_v3_assay/no_body_in_g/s19/body_shock,done
no_body_in_g,19,control,outputs/p3_v3_assay/no_body_in_g/s19/control,done
no_body_in_g,20,body_shock,outputs/p3_v3_assay/no_body_in_g/s20/body_shock,done
no_body_in_g,20,control,outputs/p3_v3_assay/no_body_in_g/s20/control,done
no_body_in_g,21,body_shock,outputs/p3_v3_assay/no_body_in_g/s21/body_shock,done
no_body_in_g,21,control,outputs/p3_v3_assay/no_body_in_g/s21/control,done
no_body_in_g,22,body_shock,outputs/p3_v3_assay/no_body_in_g/s22/body_shock,done
no_body_in_g,22,control,outputs/p3_v3_assay/no_body_in_g/s22/control,done
no_body_in_g,23,control,outputs/p3_v3_assay/no_body_in_g/s23/control,done
no_body_in_g,23,body_shock,outputs/p3_v3_assay/no_body_in_g/s23/body_shock,done
no_body_in_g,24,body_shock,outputs/p3_v3_assay/no_body_in_g/s24/body_shock,done
no_body_in_g,24,control,outputs/p3_v3_assay/no_body_in_g/s24/control,done
no_body_in_g,25,control,outputs/p3_v3_assay/no_body_in_g/s25/control,done
no_body_in_g,25,body_shock,outputs/p3_v3_assay/no_body_in_g/s25/body_shock,done
no_body_in_g,26,control,outputs/p3_v3_assay/no_body_in_g/s26/control,done
no_body_in_g,26,body_shock,outputs/p3_v3_assay/no_body_in_g/s26/body_shock,done
no_body_in_g,27,body_shock,outputs/p3_v3_assay/no_body_in_g/s27/body_shock,done
no_body_in_g,27,control,outputs/p3_v3_assay/no_body_in_g/s27/control,done
no_body_in_g,28,body_shock,outputs/p3_v3_assay/no_body_in_g/s28/body_shock,done
no_body_in_g,28,control,outputs/p3_v3_assay/no_body_in_g/s28/control,done
no_body_in_g,29,control,outputs/p3_v3_assay/no_body_in_g/s29/control,done
no_body_in_g,29,body_shock,outputs/p3_v3_assay/no_body_in_g/s29/body_shock,done
no_conative,0,control,outputs/p3_v3_assay/no_conative/s0/control,done
no_conative,0,body_shock,outputs/p3_v3_assay/no_conative/s0/body_shock,done
