cohort,seed,pre.shock_minus_control.top_occ,pre.shock_minus_control.TR_occ,pre.shock_minus_control.bottom_occ,pre.shock_minus_control.body_state_mean,pre.shock_minus_control.body_u_mean,pre.shock_minus_control.obs_pe_mean,pre.shock_minus_control.q_UP_minus_DOWN_mean,pre.shock_minus_control.pred_trend_UP_minus_DOWN_mean,pre.shock_minus_control.alpha_mean,pre.shock_minus_control.g_norm_mean,pre.shock_minus_control.g_delta_norm_mean,shock.shock_minus_control.top_occ,shock.shock_minus_control.TR_occ,shock.shock_minus_control.bottom_occ,shock.shock_minus_control.body_state_mean,shock.shock_minus_control.body_u_mean,shock.shock_minus_control.obs_pe_mean,shock.shock_minus_control.q_UP_minus_DOWN_mean,shock.shock_minus_control.pred_trend_UP_minus_DOWN_mean,shock.shock_minus_control.alpha_mean,shock.shock_minus_control.g_norm_mean,shock.shock_minus_control.g_delta_norm_mean,recovery.shock_minus_control.top_occ,recovery.shock_minus_control.TR_occ,recovery.shock_minus_control.bottom_occ,recovery.shock_minus_control.body_state_mean,recovery.shock_minus_control.body_u_mean,recovery.shock_minus_control.obs_pe_mean,recovery.shock_minus_control.q_UP_minus_DOWN_mean,recovery.shock_minus_control.pred_trend_UP_minus_DOWN_mean,recovery.shock_minus_control.alpha_mean,recovery.shock_minus_control.g_norm_mean,recovery.shock_minus_control.g_delta_norm_mean,did_residue.top_occ,did_residue.TR_occ,did_residue.bottom_occ,did_residue.body_state_mean,did_residue.body_u_mean,did_residue.obs_pe_mean,did_residue.q_UP_minus_DOWN_mean,did_residue.pred_trend_UP_minus_DOWN_mean,did_residue.alpha_mean,did_residue.g_norm_mean,did_residue.g_delta_norm_mean
full,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19609272480010992,-0.8139884597191267,0.002962003077846021,0.0320891559123993,0.017517988011240965,0.011904055997729285,-0.0026674509048461026,0.034486959176138046,-0.32499999999999996,-0.32499999999999996,0.0,-0.33441879414021974,-1.4008755994120774,0.007291282746882646,0.02876498652622103,0.013870979193598032,0.06174186924472452,0.005159270763397394,0.016188172477995977,-0.32499999999999996,-0.32499999999999996,0.0,-0.33441879414021974,-1.4008755994120774,0.007291282746882646,0.02876498652622103,0.013870979193598032,0.06174186924472452,0.005159270763397394,0.016188172477995977
full,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19693649262189866,-0.8139884597191269,-0.0006883622845634818,-0.016325314342975614,-0.007980613410472868,-0.10117328986525535,-0.003855884075164795,-0.04450048049911856,0.0,0.08750000000000002,0.0,-0.27381169162690644,-1.2528403140298856,-0.0031699647719506154,0.011105952039361003,0.004703850951045752,-0.028344475477933895,0.08693425655365017,0.006977127445861708,0.0,0.08750000000000002,0.0,-0.27381169162690644,-1.2528403140298858,-0.0031699647719506154,0.011105952039361003,0.004703850951045752,-0.028344475477933895,0.08693425655365017,0.006977127445861708
full,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19799007922410972,-0.8139884597191267,0.00037763971486128815,0.02105833068490029,0.0061409074813127545,-0.0005796596407890327,-0.02700575590133658,0.020419512689113614,0.012499999999999956,0.012499999999999956,0.0,-0.27462539747357373,-1.2267023652556375,0.0008420839760219677,0.02813122477382421,0.012724762549623847,-0.000108343176543714,-0.08475109934806824,0.013648262619972228,0.012499999999999956,0.012499999999999956,0.0,-0.27462539747357373,-1.2267023652556375,0.0008420839760219677,0.02813122477382421,0.012724762549623847,-0.000108343176543714,-0.08475109934806824,0.013648262619972228
full,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16644347161054612,-0.8313964136845045,0.0010940563515760005,0.019779151678085305,0.002498934790492069,0.000986348465085031,-0.06744493246078509,0.04490717332810164,0.32499999999999996,0.32499999999999996,-0.075,-0.19572986178100107,-1.0093789580702168,0.0009409868740476671,-0.12782876472920177,-0.06969113326631486,0.011025978717952974,-0.0541468143463133,0.015210619429126382,0.32499999999999996,0.32499999999999996,-0.07500000000000001,-0.19572986178100107,-1.009378958070217,0.0009409868740476671,-0.12782876472920177,-0.06969113326631486,0.011025978717952974,-0.0541468143463133,0.015210619429126382
full,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1949901789426804,-0.8139884597191271,0.0008755705377552657,0.039558386802673345,0.014722913503646864,-0.0013197660446166992,-0.01329617500305158,0.008158627804368733,-0.03749999999999998,-0.03749999999999998,0.0,-0.27801367044448844,-1.3089136603805935,0.0013673955298145295,0.06068946355953814,0.028731958894059065,-0.0003391182050108965,-0.02340025603771201,0.0009400984388776117,-0.03749999999999998,-0.03749999999999998,0.0,-0.27801367044448844,-1.3089136603805935,0.0013673955298145295,0.06068946355953814,0.028731958894059065,-0.0003391182050108965,-0.02340025603771201,0.0009400984388776151
full,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19339647293090817,-0.8139884597191269,0.0018880804564105347,0.04182349219918251,0.02220526095479726,-0.005023853480815882,-0.017233550548553467,0.01862144116312265,0.0,0.0,0.0,-0.26304207369685173,-1.2541830026727387,0.0016047112469095744,0.03675701953470707,0.019300495833158494,0.0634238944388926,0.06646846532821682,0.008351722010411324,0.0,0.0,0.0,-0.26304207369685173,-1.2541830026727387,0.0016047112469095744,0.03675701953470707,0.019300495833158494,0.0634238944388926,0.06646846532821682,0.00835172201041133
full,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19391998201608657,-0.813988459719127,0.0014876203262247142,0.029965370893478394,0.017354589886963367,0.00160248428583145,0.0012773394584657538,0.004023086512461305,0.0,0.0,0.0,-0.26195435300469405,-1.2545780536854152,0.0016182937964913432,0.029535560309886938,0.016870197700336573,0.0017696691676974269,0.0027874797582625455,0.001581573480507359,0.0,0.0,0.0,-0.26195435300469405,-1.254578053685415,0.0016182937964913432,0.029535560309886938,0.01687019770033657,0.0017696691676974269,0.0027874797582625455,0.001581573480507359
full,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1959758013486862,-0.8139884597191269,0.00012031241785734944,0.055112717673182474,0.03020325377583504,-0.003904408961534503,-0.012410163879394531,0.003869936894625425,0.0,0.0,0.0,-0.2663772314786911,-1.2545103701838751,5.087121098767966e-05,0.07353633092716336,0.040528423292562364,-0.0021066995337605463,-0.05929566323757163,0.0034635320247616615,0.0,0.0,0.0,-0.2663772314786911,-1.254510370183875,5.087121098767966e-05,0.07353633092716334,0.04052842329256237,-0.0021066995337605463,-0.05929566323757163,0.0034635320247616633
full,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19274271130561826,-0.8139884597191266,-0.0009294933639466766,-0.015819703787565226,-0.008234475180506698,-0.002721354365348816,-0.05254554748535156,0.025628569163382055,0.4125,0.4125,0.0,-0.2328010592609644,-0.9724115724845042,0.004925576067762449,-0.09089110204949977,-0.044652028148993855,0.01080059874802828,-0.053679972887039185,0.018756007758202034,0.4125,0.4125,0.0,-0.2328010592609644,-0.9724115724845042,0.004925576067762449,-0.09089110204949977,-0.044652028148993855,0.01080059874802828,-0.053679972887039185,0.01875600775820204
full,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19349832013249402,-0.8139884597191268,0.0011566259316168736,0.03118505105376243,0.012622662633657453,-0.005686216428875929,-0.02446987628936803,0.010138133680447935,-0.0625,-0.0625,0.0375,-0.3303953336551786,-1.4202841704065619,0.003407597696059382,-0.013611967395991104,-0.015015347395092249,0.007338765822350976,-0.04037687778472909,0.0045678593567572544,-0.0625,-0.0625,0.0375,-0.3303953336551786,-1.4202841704065619,0.003407597696059382,-0.013611967395991104,-0.015015347395092249,0.007338765822350976,-0.04037687778472909,0.004567859356757242
