cohort,seed,valence_name,zone3,n,body_state,body_u,pred_UP_minus_DOWN,true_UP_minus_DOWN,pred_trend_UP_minus_DOWN,true_trend_UP_minus_DOWN,abs_err_trend_UP,abs_err_trend_DOWN
full,0,bottom,BL,30.0,0.4332814435164133,-0.2693393210042848,0.0089415689309438,0.0015034050451452,0.1132308341562748,0.0909779778301082,0.0437638153322041,0.0215109586715698
full,0,bottom,BM,109.0,0.3926502728680952,-0.4439667199066103,0.0078215035823507,0.001233859995531,0.1087266700256855,0.079635251661331,0.0480180137594221,0.0189265952607907
full,0,bottom,BR,200.0,0.4185885121673345,-0.3627094134319744,0.008024640828371,0.0012587350869866,0.1216277493536472,0.0880816295308066,0.0495894726971164,0.016043352857232
full,0,mid,ML,115.0,0.4873830401379129,-0.0480612466995033,0.0106285315492878,0.0025163520780126,0.1328963152092436,0.130965698810784,0.0202302579970463,0.0182046314296515
full,0,mid,MM,200.0,0.5000119884312153,0.0022969786491206,0.01150833055377,0.0025878012221378,0.1372696688398718,0.1328186979227324,0.0195349098695442,0.0162704441603273
full,0,mid,MR,200.0,0.5167929738759994,0.0739038301902556,0.010211666598916,0.0023283086214841,0.1287587966397404,0.1311397184184242,0.0190131972637027,0.0217124506831169
full,0,top,TL,80.0,0.6178017009049654,0.4942226799093519,0.0026651043444871,0.00108919153644,0.071477910503745,0.0746015159945732,0.0136698543094098,0.0231127010367345
full,0,top,TM,200.0,0.621618893891573,0.5458713555538651,0.0045800995826721,0.000885901072451,0.0682376831397414,0.0626918633669401,0.0097416767664253,0.0197581544308923
full,0,top,TR,200.0,0.7396082413196564,1.1486124484730138,0.0025710428506135,0.0005083322068917,0.0462730579264462,0.0497645804872869,0.0055820161662995,0.0167283323220908
full,1,bottom,BL,15.0,0.4008661806583404,-0.4024020423934698,-0.0040971914927164,0.0016157291597614,0.1074828311800956,0.0989768141260078,0.0170561884219447,0.0085501695672671
full,1,bottom,BM,64.0,0.4565480286255479,-0.174491590961078,-0.0019995965994894,0.0015947536638901,0.101125486427918,0.0951950113877106,0.0125665571831632,0.003540537203662
full,1,bottom,BR,128.0,0.4271521111950278,-0.3002637692316332,-0.0006120090838521,0.0014684915784441,0.1008864233735948,0.0931476994310205,0.0285629447862447,0.0103895126958377
