cohort,seed,window,n_steps,max_episode,top_occ,mid_occ,bottom_occ,TR_occ,MR_occ,BR_occ,body_state_mean,body_state_last,body_pe_mean,obs_pe_mean,alpha_mean,g_norm_mean,g_norm_last,body_u_mean,body_u_last,body_u_delta_mean,trend_abs_err,trend_pred_mean,trend_target_logged_mean,conative_loss_mean,metric_eig_entropy_mean,metric_cond_mean,metric_cond_p95,g_top_bottom_dist,g_centroid_spread
full,0,last50,10000,179,0.6824,0.2774,0.0402,0.6067,0.1902,0.0325,0.6528993631049991,0.8336019515991211,0.00010432882664670569,0.018311055462135118,0.07334928109049797,3.380532348275185,3.3570775985717773,0.7188096830981312,1.6113731394271575,0.0076867409470436875,0.010038200038313815,0.0359352948570624,0.03574661347275418,0.047638424003124236,2.930740836652877,7.647557999073674,9.620410018941426,0.22931128685936383,0.1563676541224608
full,1,last50,10000,179,0.7614,0.2262,0.0124,0.6994,0.1383,0.0078,0.6778006731450558,0.8510140776634216,9.273178947199119e-05,0.017529846193731647,0.030529533303529022,3.338343214464188,3.2582359313964844,0.844956238892683,1.742576665024907,0.009417241597629508,0.008473212246128684,0.04457063502958045,0.04447911916078464,0.04879711372852325,2.5185667042219775,40.77881655129114,75.81754747142013,0.09267706384195701,0.0694780326658239
full,2,last50,10000,179,0.7826,0.199,0.0184,0.712,0.1213,0.0095,0.6891443081945181,0.9072000980377197,7.391710385968366e-05,0.018122702434219536,0.031197127939760684,3.4289262105464937,3.3489763736724854,0.8990008784998532,2.2799177736088656,0.009594142217174525,0.008910375008483774,0.044969285214296544,0.0448280555581013,0.03945353386104107,2.8696401877682183,12.162993852394736,16.357127409286868,0.0844298027312429,0.06015165633420547
full,3,last50,10000,179,0.7092,0.2113,0.0795,0.6617,0.11,0.0277,0.6208110513053835,0.8473750352859497,0.0001084126050521294,0.02068933016123483,0.051094485664367674,3.5346817818641663,3.5039455890655518,0.5894603240857985,1.7141594822543997,0.008133380900965093,0.009086387814151022,0.03937924248743802,0.039164272904684584,0.06555719961747528,2.878933927649233,10.77137941953433,16.10022963188741,0.10454110444157584,0.07877822640063455
full,4,last50,10000,179,0.7208,0.2271,0.0521,0.6579,0.1462,0.0353,0.6565296601690352,0.8592678904533386,0.0001035397980580937,0.018867754824267467,0.033430301935225726,3.2969677093744276,3.218179702758789,0.739870690657054,1.809222634231231,0.008273728083434292,0.008901119338288258,0.03917458468231489,0.038990907173210756,0.06596374023705721,2.9032715061415417,9.728625334100476,14.099343442556803,0.12967801722120356,0.09397958895829765
full,5,last50,10000,179,0.7824,0.2116,0.006,0.7173,0.1008,0.0043,0.69054646435678,0.8857215642929077,0.00013016685229406865,0.02023251525828382,0.03357548180967569,3.4245887534618378,3.3634331226348877,0.9051699595074426,2.0477645900659476,0.009915598773936853,0.008727444644848323,0.04695086569879204,0.04681024658125407,0.03992244308143854,2.844478356913398,14.013476477717628,19.078003666131814,0.09381039332915518,0.06443125229974374
full,6,last50,10000,179,0.7675,0.2002,0.0323,0.7077,0.1157,0.0236,0.6768248385444283,0.9024489521980286,0.00011462395980559635,0.016676576010073767,0.03768686020448804,3.4576458916664126,3.423491954803467,0.8515770848146065,2.224736474792929,0.009365670401682298,0.008745973451253185,0.044346637711767105,0.04417417425244555,0.04547446448504925,2.892463395262202,10.560111796738969,13.542389775037197,0.1461366132620892,0.10052872762646108
full,7,last50,10000,179,0.7336,0.2348,0.0316,0.6645,0.1461,0.0219,0.6693544867753982,0.9149982333183289,0.00013558893247496925,0.017411377415957396,0.0378084862343967,3.2038119421958924,3.1910223960876465,0.8109687038141681,2.3762504518489806,0.00877410449727253,0.009197123449558281,0.0413229756549932,0.04112265038127107,0.04614968577623367,2.928289676346862,7.784387056175852,10.426351632372022,0.10176259659865455,0.07432059743147236
full,8,last50,10000,179,0.7007,0.2653,0.034,0.6348,0.1662,0.021,0.657571377876401,0.8989988565444946,0.0001042685069416918,0.019582621571750496,0.03923859860226512,3.1388854635715484,3.065333366394043,0.7408935300460232,2.1861497427962604,0.008013320045645488,0.00966689803821599,0.03731614956143312,0.03726769048767977,0.04750541043132544,2.8859873050249587,10.325765359891664,19.55790004037643,0.24860851160339856,0.17600900503245429
full,9,last50,10000,179,0.7982,0.1885,0.0133,0.7501,0.1192,0.0068,0.6896933378100395,0.8823443055152893,0.00010664316733827875,0.014141323413357896,0.037530354645103216,3.4401788315534594,3.3980295658111572,0.9051142584065174,2.014819903207346,0.010065813112489212,0.008387367463041986,0.04768443352063186,0.047491746561497884,0.053507400645315645,2.8135841190933326,12.735808102253442,16.022175091316594,0.24128991816939618,0.17861933041756628
full,10,last50,10000,179,0.7844,0.2054,0.0102,0.7223,0.123,0.0046,0.691848542663455,0.8748000264167786,0.00013834617433788443,0.017520858246600254,0.03955690959766507,3.567324121880531,3.5062267780303955,0.9108593892586508,1.9440829280639427,0.010013263642297123,0.009910162245522994,0.04744987036457751,0.04714573521055191,0.04962428112924099,2.889742669194076,11.034727574367222,19.333526420670307,0.2874064786926811,0.1950701341073834
full,11,last50,10000,179,0.7306,0.2461,0.0233,0.6852,0.169,0.0179,0.6741298887252808,0.3360165059566498,0.0001383332841530724,0.015535379000783724,0.04755035110190511,3.359650891518593,3.307051658630371,0.8208796177698303,-0.6810969805981187,0.008708501335573148,0.009650127855476363,0.0409178294179379,0.04062660792573957,0.04622590685635805,2.9220842767898567,7.49256838265152,10.329746933930496,0.33154044312452235,0.22324388658740033
full,12,last50,10000,179,0.6883,0.2669,0.0448,0.6488,0.1892,0.0326,0.647507310217619,0.8770290613174438,0.00010586941699179544,0.014645955206648796,0.05137369236573577,3.4356109934329986,3.408506393432617,0.6972516558067797,1.9645918639076942,0.008158373100672833,0.010340920877033897,0.038395663450378925,0.038353476010917764,0.05952591387629509,2.8949516398712007,8.824245384620735,13.214411355356951,0.08200104756447997,0.05581971055587637
full,13,last50,10000,179,0.7402,0.2411,0.0187,0.6777,0.1526,0.0149,0.6743865389198065,0.7455817461013794,0.00012616484526850692,0.017392669228330486,0.037368897250294686,3.370434205007553,3.362192153930664,0.8256427655348394,1.0751850863253296,0.00902941563341277,0.00935867813831438,0.04241932824719697,0.04227158043563977,0.05582548356354237,2.8768034314568314,10.643082877879895,16.85189504013816,0.12881768661278925,0.09093465819710796
full,14,last50,10000,179,0.7452,0.2373,0.0175,0.7,0.166,0.0134,0.6758129186093808,0.8348703980445862,8.805114288566891e-05,0.014699447309380049,0.04030272480770945,3.4817300728797913,3.458756923675537,0.8333319967753561,1.6205460043457676,0.009147697065207917,0.00825532381103234,0.04341106269755401,0.04331104058365966,0.0550482912003994,2.8998960325747216,8.803278592766219,12.128676831321648,0.12347537718329064,0.08765358472149627
full,15,last50,10000,179,0.8253,0.1711,0.0036,0.7247,0.0923,0.0014,0.7040745831280947,0.8440515398979187,9.309707887005433e-05,0.019511642154122818,0.031830785930901766,3.4183188666582107,3.376577615737915,0.9798213453414962,1.6886879277706277,0.010364443487923723,0.009380229806498854,0.0491804721262306,0.048762766820715515,0.03582950419783592,2.801106936660078,13.903934784891485,19.787999870424652,0.11807894185676572,0.08702898914168113
full,16,last50,10000,179,0.8258,0.166,0.0082,0.7408,0.0828,0.0073,0.7117200677633285,0.8352246880531311,0.00013497329751650255,0.018353314601036255,0.03096265728995204,3.412393755030632,3.3355891704559326,1.0157065708466388,1.623118112327184,0.010296488824628636,0.009198464102676914,0.04877906137732789,0.04846252282361457,0.04403157940655947,2.822058793675152,14.955303948095818,21.49062416570936,0.23862246911701718,0.16504780660678367
full,17,last50,10000,179,0.8202,0.1613,0.0185,0.7592,0.0894,0.0101,0.6947205942600966,0.9199954271316528,0.0001108061623840067,0.015778378384181998,0.04393554965481162,3.5174966239213945,3.4946062564849854,0.9467865771437195,2.442285110049147,0.010385928766177405,0.010782127509775153,0.05028758143670857,0.0499173055116101,0.04431535886526108,2.832242182740927,13.2341430573292,20.020738826592638,0.22249734741070346,0.1556593044364395
full,18,last50,10000,179,0.8114,0.1675,0.0211,0.762,0.1008,0.0201,0.7010247887477279,0.8790186047554016,0.00015102693102071586,0.014436444895801833,0.030580264672636987,3.2561514654636383,3.2002220153808594,0.9714009265814196,1.9831690418764116,0.010024113282917912,0.00781604605737256,0.04782685955025954,0.047812451738954806,0.053111552067101005,2.9056855862622952,9.840767846040972,12.877435053126666,0.17890750306144754,0.12710569531389923
full,19,last50,10000,179,0.7963,0.1814,0.0223,0.6398,0.0917,0.0153,0.6952793944731355,0.8323288559913635,0.0001249581582593331,0.023085529938421678,0.03251798529922962,3.384257944869995,3.3712549209594727,0.9419917747687657,1.6022232077087382,0.009791693609953706,0.008725422959123855,0.0461258168510336,0.04601178031132839,0.039631183160841466,2.8733720143116166,11.016895042459097,16.22937101345739,0.3085511115467774,0.20813073018257697
full,20,last50,10000,179,0.7977,0.1877,0.0146,0.7037,0.1077,0.0129,0.6930660200670361,0.8900244832038879,0.00013594345731385502,0.018263441576377954,0.03955099105462432,3.319119205904007,3.3273706436157227,0.9274345111854183,2.090991190698705,0.009807617478430402,0.00871702406569216,0.04614981111381203,0.0459524339079581,0.038146954967081544,2.849835108284201,12.399805920380102,16.837170374715267,0.1965929592340182,0.13743358251245816
full,21,last50,10000,179,0.7412,0.2239,0.0349,0.6882,0.1502,0.0328,0.6669565953791141,0.8780648112297058,0.00010021317589151008,0.015742220556380925,0.05263391243964434,3.3784864376306536,3.3643300533294678,0.7994531782686326,1.9742306238219127,0.008852269274492192,0.009243879454503588,0.041734136195108296,0.041564915583107126,0.04986253340542317,2.810540218729121,14.674148294570657,20.31881636349221,0.18468031366307833,0.1254738901304211
