valence_name,zone3,action_name,n,body_delta_mean,body_u_delta_mean,body_state_mean,body_next_mean,tendency_target_mean,tendency_pred_mean
bottom,BL,DOWN,7,-0.00520295330456325,-0.02144186055867134,0.4227872746331351,0.4175843213285719,-0.11633013545075806,-0.11866871267557144
bottom,BL,LEFT,6,-0.004133507609367371,-0.016771776581117965,0.4448568820953369,0.44072337448596954,-0.08302447654880123,-0.07183751960595448
bottom,BL,RIGHT,11,-0.004790289835496383,-0.019693837456948627,0.4284365583549846,0.4236462685194882,-0.0974894065749202,-0.07809740271080624
bottom,BL,STAY,3,-0.003853758176167806,-0.015683028621282475,0.4405394395192464,0.4366856813430786,-0.07763490264041262,-0.054175508519013725
bottom,BL,UP,3,-0.0034511188666025796,-0.013986167601608035,0.44512354334195453,0.441672424475352,-0.017565268464111966,-0.017492111151417095
bottom,BM,DOWN,15,-0.005051823457082113,-0.02102728262965121,0.4169574499130249,0.4119056264559428,-0.11510230327562158,-0.11100409080584844
bottom,BM,LEFT,17,-0.004432876320446239,-0.018692380786921856,0.40010617410435395,0.3956732977839077,-0.09253194631940467,-0.0807700994260171
bottom,BM,RIGHT,28,-0.004349942186049053,-0.01886589715432476,0.37921490733112606,0.374864965145077,-0.09339089560880165,-0.08407122189445156
bottom,BM,STAY,20,-0.004182928800582885,-0.0180726630152186,0.3790875092148781,0.3749045804142952,-0.08946418880696691,-0.07907330766320228
bottom,BM,UP,29,-0.003793134771544358,-0.016133423700750205,0.39803260153737563,0.39423946676583127,-0.03529428674231146,-0.040490144799495566
bottom,BR,DOWN,43,-0.004458058712094329,-0.020989537403971085,0.4105041619650153,0.406046103252921,-0.1139450214900194,-0.11724757715020069
bottom,BR,LEFT,48,-0.003891129046678543,-0.018564912266290638,0.4146016233911117,0.41071049434443313,-0.09190094535473815,-0.08423867883781593
bottom,BR,RIGHT,93,-0.004089373734689528,-0.01821106289637563,0.44150427800993763,0.43741490427524815,-0.09014930273225107,-0.0785539283627464
bottom,BR,STAY,70,-0.0034781973276819503,-0.016731738866331412,0.3892145397407668,0.38573634241308485,-0.08282627987617763,-0.07475777667547975
bottom,BR,UP,85,-0.003252930325620315,-0.014931751631788812,0.4118767768144608,0.4086238464888404,-0.026527450323061294,-0.027348230045069668
mid,ML,DOWN,19,-0.0016674807197169254,-0.006713540783539123,0.4743463208800868,0.4726788401603699,-0.07425017375881365,-0.06676294576180608
mid,ML,LEFT,18,-0.0005523727999793158,-0.0022108090632330804,0.48967351681656307,0.48912114401658374,-0.010944056184895657,-0.008775698124534555
mid,ML,RIGHT,32,-0.00047282688319683075,-0.0018252491273923694,0.5020060325041413,0.5015332056209445,-0.009035438353234171,-0.0002793458988890052
