valence_name,zone3,action_name,n,body_delta_mean,body_u_delta_mean,body_state_mean,body_next_mean,tendency_target_mean,tendency_pred_mean
bottom,BM,DOWN,14,-0.005211883357592991,-0.02133521990343461,0.43903685893331257,0.4338249755757196,-0.11724938603514327,-0.10822327913982528
bottom,BM,LEFT,5,-0.004519319534301758,-0.018279608439194982,0.4651887595653534,0.46066944003105165,-0.09048862026279447,-0.06491923183202744
bottom,BM,RIGHT,27,-0.004648092720243666,-0.019226005383961024,0.4237897009761245,0.41914160825588087,-0.09517352114771595,-0.07216214623164248
bottom,BM,STAY,16,-0.004316782578825951,-0.017689526778278678,0.4353870917111635,0.43107030913233757,-0.08756756888927572,-0.06103476393036544
bottom,BM,UP,23,-0.0036683808202328887,-0.015125672146875409,0.43405964970588684,0.43039126888565393,-0.02661996442361233,-0.02788959496209155
bottom,BR,DOWN,70,-0.004590996887002673,-0.02089383220727989,0.368543795815536,0.36395279892853327,-0.1112963735238905,-0.12082246158804212
bottom,BR,LEFT,66,-0.004044398439652992,-0.018463916787248746,0.35322705498247436,0.3491826565428214,-0.09140099254767,-0.08226680987034783
bottom,BR,RIGHT,96,-0.004203538099924724,-0.018845029617592407,0.36537504956747097,0.3611715114675462,-0.09328759609812144,-0.08489418573056658
bottom,BR,STAY,112,-0.003752058504947594,-0.017272702460323277,0.3453254295246942,0.34157337101974655,-0.08550418456957172,-0.07825657708703407
bottom,BR,UP,96,-0.0034495570386449495,-0.015882705167044216,0.35029510020588833,0.3468455431672434,-0.036102661711888216,-0.037677487009204924
mid,ML,DOWN,6,-0.0020848910013834634,-0.008345478277993158,0.49543312688668567,0.49334823588530224,-0.08221433513330599,-0.06328228674829006
mid,ML,LEFT,3,-0.0021272599697113037,-0.008511062716870965,0.49471322695414227,0.49258596698443097,-0.04213188290009572,-0.04657249835630258
mid,ML,RIGHT,9,-0.0016073253419664171,-0.006443106713919408,0.48793641726175946,0.486329091919793,-0.0318949849876648,-0.02161464612517092
mid,ML,STAY,4,-0.0004640445113182068,-0.001861427045543593,0.4930758401751518,0.4926117956638336,-0.009214528069973651,-0.0025734342634677887
mid,ML,UP,5,0.0010925769805908204,0.004375115346532743,0.49392929673194885,0.4950218737125397,0.05831037671995448,0.05875849835574627
mid,MM,DOWN,173,-0.0018204111239813656,-0.007317982384118785,0.4934014460944027,0.4915810349704213,-0.07770472234152441,-0.06477159794118535
mid,MM,LEFT,150,-0.0003119748830795288,-0.0012448886606444768,0.500325248837471,0.5000132739543914,-0.0061625093150779655,3.429211055239042e-05
mid,MM,RIGHT,315,-0.00013759287576826793,-0.0005533864098735614,0.4945407043373774,0.49440311146160915,-0.0027394007299559576,0.006022608569926686
mid,MM,STAY,248,-1.8543834167142067e-05,-7.880572195869574e-05,0.49259327670499203,0.49257473287082487,-0.0003901079759217095,0.007175302808924067
mid,MM,UP,285,0.0009608880992521319,0.003906480258104567,0.49523134555732995,0.4961922336565821,0.05740598518245766,0.05054327214561533
mid,MR,DOWN,230,-0.001307367565839187,-0.006106922999418109,0.5369006322129913,0.5355932646471521,-0.07440336512000531,-0.06252999538555741
mid,MR,LEFT,227,0.00013561822506824779,0.0004562896411771765,0.5278113928135271,0.5279470110385953,0.0022587475113414503,0.004744507027748923
mid,MR,RIGHT,543,-1.5853353626820262e-05,-0.0002913409605783413,0.5378479424376953,0.5378320890840685,-0.0014422104081969187,0.0017400349149031095
mid,MR,STAY,374,0.00024159894110684725,0.0007652670049940627,0.5416467055917423,0.5418883045328492,0.0037882625136582823,0.0075012531746577295
mid,MR,UP,428,0.0011312097450283086,0.004815956364530381,0.5285935469110993,0.5297247566561275,0.058603413371281415,0.04716225178416157
top,TL,DOWN,4,0.0036323964595794678,0.015328531211143845,0.6118146032094955,0.615446999669075,0.04572929278993973,0.04458710039034486
top,TL,LEFT,8,0.003488101065158844,0.014466147343564996,0.5757975466549397,0.5792856477200985,0.07161103685518184,0.07986879628151655
top,TL,RIGHT,13,0.003513054205821111,0.014812138227777955,0.5853256995861347,0.5888387537919558,0.07332377801372901,0.07477391597170097
top,TL,STAY,8,0.004257291555404663,0.018165302245511293,0.6210621073842049,0.6253193989396095,0.08992277609888175,0.08637531753629446
top,TL,UP,6,0.003865540027618408,0.01669175486117343,0.6330471038818359,0.6369126439094543,0.08491716040661967,0.08914212013284366
top,TM,DOWN,108,0.0025512861708799997,0.011328280983790387,0.6317533645089026,0.6343046506797826,0.016551973814121188,0.014608349633851537
top,TM,LEFT,92,0.0033145914583102517,0.01425686692791196,0.5900235590727433,0.5933381505310535,0.07057504660826487,0.06592634194733007
top,TM,RIGHT,199,0.003192745036815279,0.01389206469530916,0.5940242404464501,0.5972169854832654,0.06876918458409627,0.06604097727405366
top,TM,STAY,127,0.0035619543293329676,0.01525348237513257,0.5943161934379517,0.5978781477672848,0.07550854160360695,0.07194809064151735
top,TM,UP,169,0.0034416915749657085,0.015333384698658472,0.6210133267577583,0.624455018332724,0.08267705489067449,0.08033472272021884
top,TR,DOWN,1594,0.0019891014511941216,0.010582658303912421,0.7428798522786185,0.7448689537298125,0.019067065473409146,0.01827019048326531
top,TR,LEFT,1349,0.0023320447943491612,0.012465248210580154,0.7390172246365834,0.7413492694309325,0.06170608717143507,0.06075312515059341
top,TR,RIGHT,3429,0.00231274018989217,0.012457329201070684,0.741903022731244,0.7442157629211361,0.06166688609955523,0.06033730596851489
top,TR,STAY,2396,0.002503830765394217,0.01348783800824867,0.7396628349608989,0.7421666657262931,0.06676816167886414,0.06479460529777811
