valence_name,zone3,action_name,n,body_delta_mean,body_u_delta_mean,body_state_mean,body_next_mean,tendency_target_mean,tendency_pred_mean
bottom,BM,DOWN,1,-0.005191683769226074,-0.02079098737084769,0.48557472229003906,0.480383038520813,-0.11894742030891495,-0.17369718849658966
bottom,BM,LEFT,2,-0.002863772213459015,-0.016957062672097734,0.21662618219852448,0.21376240998506546,-0.08394168890498555,-0.07327643036842346
bottom,BM,RIGHT,12,-0.0038608809312184653,-0.018400513574476286,0.34078224127491313,0.3369213603436947,-0.09108713083323054,-0.08307132869958878
bottom,BM,STAY,4,-0.00399697944521904,-0.017416981924942274,0.4068334810435772,0.40283650159835815,-0.08621840389921728,-0.09258593060076237
bottom,BM,UP,3,-0.0035186707973480225,-0.015897361053070987,0.39089203874270123,0.3873733679453532,-0.03405155020051906,-0.01578559757520755
bottom,BR,DOWN,307,-0.0031890347599983215,-0.01778314385483582,0.24239130758647034,0.23920227282647202,-0.0947949244654226,-0.10683216187945212
bottom,BR,LEFT,311,-0.002714291179007656,-0.015899889537661287,0.22647882296053926,0.2237645317815316,-0.07870841825631426,-0.07423371967479252
bottom,BR,RIGHT,924,-0.0028819016088203436,-0.015749658368601555,0.25025484947189364,0.24737294786307332,-0.0779647365054769,-0.07268283336354799
bottom,BR,STAY,191,-0.0027618317703926127,-0.015025148576986969,0.25254275540562826,0.24978092363523563,-0.0743782323619026,-0.0686982792085378
bottom,BR,UP,305,-0.00238007304609799,-0.013471409561085515,0.23962312735250738,0.2372430543064094,-0.025865286281521373,-0.02144252680486343
mid,MM,DOWN,29,-0.002448666712333416,-0.009796680430672913,0.4972938617755627,0.49484519506322927,-0.08722341340776572,-0.06887640906818981
mid,MM,LEFT,27,-0.0008718007140689426,-0.0035843232728003057,0.4808353571980088,0.47996355648393985,-0.017743294043217877,-0.013322147747708691
mid,MM,RIGHT,271,-0.0005809784320447718,-0.0023037611682321718,0.4936331055261112,0.49305212709406643,-0.011404192284630429,-0.0006488273727855339
mid,MM,STAY,29,-0.00015631523625604036,-0.0006548645196587819,0.48752454745358437,0.4873682322173283,-0.003241742679559849,0.007808305226780218
mid,MM,UP,46,0.0006678804107334303,0.002659725108188693,0.4925816713467888,0.4932495517575223,0.05379231705696821,0.047482318366351334
mid,MR,DOWN,529,-0.0014760833240637032,-0.006310189598983279,0.44338865596484145,0.44191257264077777,-0.07211986371156398,-0.0572751549940507
mid,MR,LEFT,464,-0.0001647632472730916,-0.0006153532279883098,0.43196094236818366,0.43179617912091056,-0.0030461519326379686,-0.0032996299329358316
mid,MR,RIGHT,5264,-0.00014739903256206526,-0.0005741921020065612,0.4866401843718143,0.4864927853392522,-0.0028423940944467866,-0.0021832458785307624
mid,MR,STAY,506,-4.208444253258083e-06,0.00011514116865854224,0.455289689757725,0.45528548131347174,0.000569977498260686,0.0014612016759503617
mid,MR,UP,620,0.0009214260645451084,0.004083566400991898,0.45626284757689123,0.4571842736414363,0.05908917640434496,0.04626436845339354
top,TL,DOWN,9,0.001319004429711236,0.008701423582604272,0.8161798649364047,0.817498869366116,0.008114347436073322,0.024133076270421345
top,TL,LEFT,1,0.0019972920417785645,0.012883097037267977,0.8071696758270264,0.8091669678688049,0.06377454306485175,0.054398246109485626
top,TL,RIGHT,4,0.000912591814994812,0.007596939000637959,0.8543390780687332,0.855251669883728,0.037606742544569194,0.026268200017511845
top,TL,STAY,13,0.0013217284129216121,0.00978230028472764,0.8388449137027447,0.8401666421156663,0.0484248258766493,0.04951535802907669
top,TL,UP,22,0.0015267594294114547,0.011097310674991957,0.8363376557826996,0.8378644152121111,0.0572080822363241,0.05792308645322919
top,TM,DOWN,31,0.0024313619059901084,0.012060567090976857,0.7171408880141473,0.7195722499201375,0.028320865355262168,0.02530064529949619
top,TM,LEFT,6,0.002001901467641195,0.012004407601762671,0.7900448640187582,0.7920467654863993,0.05942481123537346,0.05563627121349176
top,TM,RIGHT,8,0.0030672848224639893,0.012994686666210734,0.5669803693890572,0.5700476542115211,0.06432693955585221,0.05235658539459109
top,TM,STAY,36,0.002354459630118476,0.012853735262507583,0.7503881355126699,0.7527425951427884,0.06362919495767719,0.056757159479376346
top,TM,UP,61,0.002641670528005381,0.013657364070681677,0.7327128008740847,0.7353544714020901,0.07045933068369802,0.072569411858672
top,TR,DOWN,298,0.00226771241466471,0.01042559145247261,0.6448599907675846,0.6471277031822492,0.01037261287944045,0.007048364056761833
top,TR,LEFT,187,0.003075765734687846,0.013694205541432587,0.6214146410877054,0.6244904068223933,0.06778973243115709,0.06111789991790279
top,TR,RIGHT,4683,0.0022756633132587963,0.011846256407155623,0.7216608129344688,0.7239364762477276,0.05864192338301578,0.05696283553404995
top,TR,STAY,324,0.0029771203336156444,0.01384933257071407,0.6617047703008593,0.6646818906344749,0.06855764991100027,0.06431682349504604
top,TR,UP,392,0.0032694610025809736,0.014863125670980758,0.6428892323557212,0.6461586933583021,0.08052802724815963,0.09382145469818189
