condition,seed,outdir,status,start_time,end_time
full,0,outputs/p3_v3_cohorts/full/s0,done,2026-05-09T05:41:00+00:00,2026-05-09T05:52:42+00:00
full,1,outputs/p3_v3_cohorts/full/s1,done,2026-05-09T05:41:00+00:00,2026-05-09T05:53:06+00:00
full,2,outputs/p3_v3_cohorts/full/s2,done,2026-05-09T05:52:42+00:00,2026-05-09T06:04:43+00:00
full,3,outputs/p3_v3_cohorts/full/s3,done,2026-05-09T05:53:06+00:00,2026-05-09T06:05:10+00:00
full,4,outputs/p3_v3_cohorts/full/s4,done,2026-05-09T06:04:43+00:00,2026-05-09T06:16:23+00:00
full,5,outputs/p3_v3_cohorts/full/s5,done,2026-05-09T06:05:10+00:00,2026-05-09T06:17:01+00:00
full,6,outputs/p3_v3_cohorts/full/s6,done,2026-05-09T06:16:23+00:00,2026-05-09T06:28:08+00:00
full,7,outputs/p3_v3_cohorts/full/s7,done,2026-05-09T06:17:01+00:00,2026-05-09T06:28:45+00:00
full,8,outputs/p3_v3_cohorts/full/s8,done,2026-05-09T06:28:08+00:00,2026-05-09T06:38:34+00:00
full,9,outputs/p3_v3_cohorts/full/s9,done,2026-05-09T06:28:45+00:00,2026-05-09T06:41:25+00:00
full,10,outputs/p3_v3_cohorts/full/s10,done,2026-05-09T06:38:34+00:00,2026-05-09T06:51:02+00:00
full,11,outputs/p3_v3_cohorts/full/s11,done,2026-05-09T06:41:25+00:00,2026-05-09T06:53:11+00:00
full,12,outputs/p3_v3_cohorts/full/s12,done,2026-05-09T06:51:02+00:00,2026-05-09T07:03:09+00:00
full,13,outputs/p3_v3_cohorts/full/s13,done,2026-05-09T06:53:11+00:00,2026-05-09T07:05:17+00:00
full,14,outputs/p3_v3_cohorts/full/s14,done,2026-05-09T07:03:09+00:00,2026-05-09T07:15:06+00:00
full,15,outputs/p3_v3_cohorts/full/s15,done,2026-05-09T07:05:17+00:00,2026-05-09T07:17:12+00:00
full,16,outputs/p3_v3_cohorts/full/s16,done,2026-05-09T07:15:06+00:00,2026-05-09T07:26:53+00:00
full,17,outputs/p3_v3_cohorts/full/s17,done,2026-05-09T07:17:12+00:00,2026-05-09T07:29:27+00:00
full,18,outputs/p3_v3_cohorts/full/s18,done,2026-05-09T07:26:53+00:00,2026-05-09T07:39:16+00:00
full,19,outputs/p3_v3_cohorts/full/s19,done,2026-05-09T07:29:27+00:00,2026-05-09T07:41:17+00:00
full,20,outputs/p3_v3_cohorts/full/s20,done,2026-05-09T07:39:16+00:00,2026-05-09T07:51:17+00:00
full,21,outputs/p3_v3_cohorts/full/s21,done,2026-05-09T07:41:17+00:00,2026-05-09T07:52:52+00:00
full,22,outputs/p3_v3_cohorts/full/s22,done,2026-05-09T07:51:17+00:00,2026-05-09T08:03:15+00:00
full,23,outputs/p3_v3_cohorts/full/s23,done,2026-05-09T07:52:52+00:00,2026-05-09T08:05:10+00:00
full,24,outputs/p3_v3_cohorts/full/s24,done,2026-05-09T08:03:15+00:00,2026-05-09T08:15:30+00:00
full,25,outputs/p3_v3_cohorts/full/s25,done,2026-05-09T08:05:10+00:00,2026-05-09T08:17:37+00:00
full,26,outputs/p3_v3_cohorts/full/s26,done,2026-05-09T08:15:30+00:00,2026-05-09T08:27:45+00:00
full,27,outputs/p3_v3_cohorts/full/s27,done,2026-05-09T08:17:37+00:00,2026-05-09T08:29:51+00:00
full,28,outputs/p3_v3_cohorts/full/s28,done,2026-05-09T08:27:45+00:00,2026-05-09T08:39:53+00:00
full,29,outputs/p3_v3_cohorts/full/s29,done,2026-05-09T08:29:51+00:00,2026-05-09T08:41:16+00:00
no_conative,0,outputs/p3_v3_cohorts/no_conative/s0,done,2026-05-09T08:39:53+00:00,2026-05-09T08:51:39+00:00
no_conative,1,outputs/p3_v3_cohorts/no_conative/s1,done,2026-05-09T08:41:16+00:00,2026-05-09T08:53:50+00:00
no_conative,2,outputs/p3_v3_cohorts/no_conative/s2,done,2026-05-09T08:51:39+00:00,2026-05-09T09:03:41+00:00
no_conative,3,outputs/p3_v3_cohorts/no_conative/s3,done,2026-05-09T08:53:50+00:00,2026-05-09T09:05:09+00:00
no_conative,4,outputs/p3_v3_cohorts/no_conative/s4,done,2026-05-09T09:03:41+00:00,2026-05-09T09:15:40+00:00
no_conative,5,outputs/p3_v3_cohorts/no_conative/s5,done,2026-05-09T09:05:09+00:00,2026-05-09T09:16:48+00:00
no_conative,6,outputs/p3_v3_cohorts/no_conative/s6,done,2026-05-09T09:15:40+00:00,2026-05-09T09:27:12+00:00
no_conative,7,outputs/p3_v3_cohorts/no_conative/s7,done,2026-05-09T09:16:48+00:00,2026-05-09T09:28:21+00:00
no_conative,8,outputs/p3_v3_cohorts/no_conative/s8,done,2026-05-09T09:27:12+00:00,2026-05-09T09:39:02+00:00
no_conative,9,outputs/p3_v3_cohorts/no_conative/s9,done,2026-05-09T09:28:21+00:00,2026-05-09T09:40:10+00:00
no_conative,10,outputs/p3_v3_cohorts/no_conative/s10,done,2026-05-09T09:39:02+00:00,2026-05-09T09:51:16+00:00
