cohort,seed,probe_id,x,y,x_zone,y_zone,body_level,body_state,shock_minus_control.pred_trend_UP_minus_DOWN,shock_minus_control.body_pred_UP_minus_DOWN,shock_minus_control.q_UP_minus_DOWN,shock_minus_control.q_entropy,shock_minus_control.metric_eig_entropy,shock_minus_control.metric_cond,shock_minus_control.metric_top1_mass,shock_minus_control.metric_trace,shock_minus_control.g_norm,shock_minus_control.metric_eig_0,shock_minus_control.metric_eig_1,shock_minus_control.metric_eig_2,shock_minus_control.metric_eig_3,shock_minus_control.metric_eig_4,shock_minus_control.metric_eig_5,shock_minus_control.metric_eig_6,shock_minus_control.metric_eig_7,shock_minus_control.metric_eig_8,shock_minus_control.metric_eig_9,shock_minus_control.metric_eig_10,shock_minus_control.metric_eig_11,shock_minus_control.metric_eig_12,shock_minus_control.metric_eig_13,shock_minus_control.metric_eig_14,shock_minus_control.metric_eig_15,shock_minus_control.metric_eig_16,shock_minus_control.metric_eig_17,shock_minus_control.metric_eig_18,shock_minus_control.metric_eig_19,s_distance_shock_control,g_distance_shock_control
full,0,0,2,2,L,T,low,0.25,-0.02435798943042755,-0.00044389069080352783,-0.044381141662597656,0.020749330520629883,-0.0247499942779541,2.4443554878234863,0.023057177662849426,0.7849931716918945,-0.012319803237915039,0.001208566129207611,-0.02140103280544281,-0.0019182562828063965,0.01742655038833618,0.008065015077590942,-0.011247634887695312,-0.008442342281341553,0.012172043323516846,0.01610851287841797,0.008822977542877197,0.036005645990371704,0.04131770133972168,0.027991771697998047,0.0380861759185791,0.039082229137420654,0.027194321155548096,0.043869733810424805,0.032208800315856934,0.17119145393371582,0.30725032091140747,0.31977707654837156,0.7278280429152858
full,0,1,2,2,L,T,mid,0.5,-0.02103801816701889,-0.0010401904582977295,-0.0350508838891983,0.012092828750610352,-0.025545835494995117,2.4621644020080566,0.023173920810222626,0.8036632537841797,-0.00937032699584961,0.0012838467955589294,-0.020753726363182068,-0.006095856428146362,0.018249481916427612,0.007984071969985962,-0.012866199016571045,-0.009746640920639038,0.011365056037902832,0.01812368631362915,0.008964359760284424,0.03568333387374878,0.04244190454483032,0.027563929557800293,0.04103124141693115,0.04310876131057739,0.02835667133331299,0.044576048851013184,0.03928250074386597,0.17361348867416382,0.31149739027023315,0.2970932192684914,0.7273094333269933
full,0,2,2,2,L,T,high,0.8,-0.01780327409505844,-0.0029961466789245605,-0.03127607703208923,0.009669184684753418,-0.02705526351928711,2.5196690559387207,0.02351454645395279,0.828155517578125,-0.006185054779052734,0.0012284815311431885,-0.021166130900382996,-0.012198090553283691,0.01843404769897461,0.00992286205291748,-0.014977037906646729,-0.012762278318405151,0.01047593355178833,0.01884061098098755,0.009720176458358765,0.03701972961425781,0.04244190454483032,0.027564525604248047,0.043177008628845215,0.044951677322387695,0.030929923057556152,0.04759013652801514,0.05132472515106201,0.17650055885314941,0.3191370964050293,0.26042215700980764,0.731501931210111
full,0,3,2,7,L,M,low,0.25,0.00914272665977478,0.0009923279285430908,0.007075965404510498,-0.003793954849243164,-0.023736238479614258,2.398521900177002,0.02273828536272049,0.7680788040161133,-0.013186931610107422,0.001222074031829834,-0.02098783850669861,0.00384405255317688,0.016542702913284302,0.005999475717544556,-0.010975629091262817,-0.007168203592300415,0.012919217348098755,0.01398158073425293,0.009205937385559082,0.03469398617744446,0.041848957538604736,0.028296709060668945,0.03671509027481079,0.038262128829956055,0.02513408660888672,0.04135173559188843,0.025480985641479492,0.1704455018043518,0.30126655101776123,0.3264455892313213,0.7281957217498857
full,0,4,2,7,L,M,mid,0.5,-0.0028723031282424927,-0.0001036226749420166,-0.023898690938949585,0.01713418960571289,-0.02536916732788086,2.4593405723571777,0.02314125746488571,0.7966747283935547,-0.009725570678710938,0.0012063533067703247,-0.02113299071788788,-0.0038418173789978027,0.017013728618621826,0.00769081711769104,-0.013103336095809937,-0.009820640087127686,0.011441975831985474,0.01672491431236267,0.009218335151672363,0.035546183586120605,0.04247605800628662,0.027966797351837158,0.039997220039367676,0.041831910610198975,0.027822554111480713,0.04411107301712036,0.037121355533599854,0.1743585467338562,0.3100455403327942,0.2821979578744302,0.7299951142555404
full,0,5,2,7,L,M,high,0.8,-0.014461562037467957,-0.0019232630729675293,-0.03740358352661133,0.01968514919281006,-0.026664257049560547,2.504753589630127,0.02344721555709839,0.8250064849853516,-0.006208896636962891,0.0012646391987800598,-0.020776137709617615,-0.009430795907974243,0.018068552017211914,0.00832986831665039,-0.014963507652282715,-0.012097656726837158,0.01026424765586853,0.018471896648406982,0.00994226336479187,0.035863637924194336,0.04373824596405029,0.02762436866760254,0.04377412796020508,0.046117961406707764,0.029925823211669922,0.045323848724365234,0.04867839813232422,0.17722195386886597,0.3176659345626831,0.30098636637551157,0.735351563098309
full,0,6,2,12,L,B,low,0.25,0.02199462056159973,0.0022772997617721558,0.05179080367088318,-0.02493727207183838,-0.024120807647705078,2.414937973022461,0.02283485233783722,0.7720441818237305,-0.012203454971313477,0.001172475516796112,-0.02123028039932251,0.002467423677444458,0.016115128993988037,0.006740868091583252,-0.011700719594955444,-0.008239716291427612,0.012580394744873047,0.013778537511825562,0.009377360343933105,0.03502359986305237,0.04185378551483154,0.02848529815673828,0.03691208362579346,0.03842926025390625,0.025705158710479736,0.0421108603477478,0.027921736240386963,0.17153090238571167,0.3030102252960205,0.321732993678038,0.7291370091616571
full,0,7,2,12,L,B,mid,0.5,0.024054989218711853,0.0019229650497436523,0.055355221033096313,-0.031246662139892578,-0.024752378463745117,2.429661273956299,0.022963814437389374,0.7877292633056641,-0.009546995162963867,0.0012347027659416199,-0.020747914910316467,-0.00016179680824279785,0.016619235277175903,0.006200581789016724,-0.01320675015449524,-0.009232252836227417,0.011485785245895386,0.01584962010383606,0.009516358375549316,0.034383535385131836,0.04323923587799072,0.028162717819213867,0.039599478244781494,0.041786134243011475,0.02649444341659546,0.04218113422393799,0.03350710868835449,0.17404544353485107,0.3067739009857178,0.34538983412429763,0.7317879813633106
full,0,8,2,12,L,B,high,0.8,0.019579388201236725,-5.4776668548583984e-05,0.03529787063598633,-0.02365851402282715,-0.026456356048583984,2.4988226890563965,0.02336040884256363,0.8167247772216797,-0.006051063537597656,0.001163087785243988,-0.02100108563899994,-0.006646603345870972,0.016445934772491455,0.007282376289367676,-0.015452086925506592,-0.012154817581176758,0.01033550500869751,0.017285525798797607,0.009997129440307617,0.03513002395629883,0.044177234172821045,0.027910351753234863,0.04305154085159302,0.04560089111328125,0.029270052909851074,0.04453843832015991,0.04590827226638794,0.17840087413787842,0.31548261642456055,0.37300474463251165,0.735180261188988
full,0,9,7,2,M,T,low,0.25,-0.023836150765419006,-0.000439569354057312,-0.044456154108047485,0.021269679069519043,-0.02502751350402832,2.4579906463623047,0.02313573658466339,0.7874641418457031,-0.012203454971313477,0.0011718496680259705,-0.0217026025056839,-0.0030552446842193604,0.01725935935974121,0.008741259574890137,-0.011369645595550537,-0.008958399295806885,0.012115001678466797,0.016040265560150146,0.008843690156936646,0.03653016686439514,0.04096871614456177,0.02814507484436035,0.0378987193107605,0.0384974479675293,0.02775508165359497,0.044799983501434326,0.03408801555633545,0.17119091749191284,0.30850398540496826,0.30452456573559833,0.7279297478903304
