valence_name,zone3,action_name,n,body_delta_mean,body_u_delta_mean,body_state_mean,body_next_mean,tendency_target_mean,tendency_pred_mean
bottom,BL,DOWN,8,-0.005183279514312744,-0.021301174262731173,0.42767808958888054,0.4224948100745678,-0.11636361188334525,-0.11687521822750568
bottom,BL,LEFT,6,-0.004133507609367371,-0.016771776581117965,0.4448568820953369,0.44072337448596954,-0.08302447654880123,-0.07183751960595448
bottom,BL,RIGHT,10,-0.0048165559768676754,-0.019766418237483076,0.43168376982212064,0.426867213845253,-0.0978486995384432,-0.07548403106629849
bottom,BL,STAY,3,-0.003853758176167806,-0.015683028621282475,0.4405394395192464,0.4366856813430786,-0.07763490264041262,-0.054175508519013725
bottom,BL,UP,5,-0.0035455822944641113,-0.014343643426855712,0.44897760152816774,0.4454320192337036,-0.019641931684935547,-0.025099491700530052
bottom,BM,DOWN,5,-0.0050400495529174805,-0.020453578143988998,0.445996618270874,0.4409565687179565,-0.11597171850685592,-0.11009583175182343
bottom,BM,LEFT,12,-0.00425336758295695,-0.017753956801396586,0.41911378502845764,0.4148604174455007,-0.0878865135709867,-0.06304003857076168
bottom,BM,RIGHT,16,-0.004447009414434433,-0.01851936782353552,0.4298541061580181,0.4254070967435837,-0.09167548900542644,-0.06582322693429887
bottom,BM,STAY,11,-0.004235178232192993,-0.017948085313295985,0.40167606147852813,0.39744088324633514,-0.08884749811580772,-0.07525292140516368
bottom,BM,UP,22,-0.0035523609681562943,-0.014915130327137548,0.40833595259623096,0.40478359162807465,-0.025852940566387015,-0.03886246820911765
bottom,BR,DOWN,87,-0.0041537028790890485,-0.020116703140718797,0.33892328266439764,0.33476957978530864,-0.10711221995261488,-0.12165154302599786
bottom,BR,LEFT,78,-0.0038762128888032376,-0.018449851442702482,0.35081601095123166,0.3469397980624285,-0.09133136558461195,-0.07796738158242825
bottom,BR,RIGHT,166,-0.0038815232285534045,-0.018335022062023733,0.3579596021178975,0.3540780788893441,-0.09076293151460356,-0.0812114865395678
bottom,BR,STAY,84,-0.003397769693817411,-0.016645017179209232,0.32223200372287203,0.31883423402905464,-0.08239698589864791,-0.07273320547704186
bottom,BR,UP,112,-0.0030864543680633816,-0.014918767601037058,0.3354802788235247,0.33239382445546134,-0.03051167983406135,-0.03405403725004622
mid,ML,DOWN,24,-0.001508854329586029,-0.006072195611404863,0.4862956975897153,0.4847868432601293,-0.0726027165458037,-0.060729862578834094
mid,ML,LEFT,20,-0.000265328586101532,-0.0010595153500357938,0.49669781029224397,0.4964324817061424,-0.0052448651999798,-0.0027822328731417654
mid,ML,RIGHT,37,-0.0004552868572441307,-0.0017677155269451535,0.5068275541872591,0.5063722673300151,-0.00875063268354288,0.0021665479383758597
mid,ML,STAY,26,0.0003165384897818932,0.0012855583288502923,0.49272121030550736,0.4930377487952893,0.006363834314720678,0.007663802100488773
mid,ML,UP,29,0.0011490758123068974,0.004736733762827221,0.4889951862137893,0.49014426202609623,0.06027959293978262,0.04898282371718308
mid,MM,DOWN,193,-0.0014933086738685253,-0.006025889379179836,0.49745830924399775,0.4959650005701292,-0.07343748474614381,-0.04684424578390745
mid,MM,LEFT,182,-0.00028910463327889914,-0.001155553430818283,0.4983186228917195,0.4980295182584406,-0.005720277649409533,0.007779016809353789
