episode,t,x,y,zone3,valence_name,body_state,body_u,logged_action,pred_UP,pred_DOWN,pred_STAY,pred_UP_minus_DOWN,true_UP,true_DOWN,true_STAY,true_UP_minus_DOWN,pred_trend_UP,pred_trend_DOWN,pred_trend_STAY,pred_trend_UP_minus_DOWN,true_trend_UP,true_trend_DOWN,true_trend_STAY,true_trend_UP_minus_DOWN,abs_err_trend_UP,abs_err_trend_DOWN
187,169,8,11,BM,bottom,0.18492256104946136,-1.4833459842781014,UP,0.19876629114151,0.1947891116142273,0.19278556108474731,0.003977179527282715,0.18335058600658583,0.18252791975747787,0.18302154772412232,0.0008226662491079562,0.029503853991627693,-0.07320413738489151,-0.03508228063583374,0.10270798951387405,-0.0031994272757849274,-0.08854333414267201,-0.06268423062785566,0.08534390686688709,0.032703280448913574,0.015339195728302002
187,168,9,11,BM,bottom,0.18700121343135834,-1.4696144837809753,LEFT,0.19942662119865417,0.19570201635360718,0.19337594509124756,0.003724604845046997,0.18540522358790967,0.18457542209410738,0.18507333370040666,0.0008298014938022957,0.028877602890133858,-0.07394439727067947,-0.03592667356133461,0.10282199829816818,-0.003539299034596599,-0.08888320590148391,-0.06302410238666711,0.08534390686688731,0.03241690248250961,0.014938808977603912
123,105,9,13,BM,bottom,0.14867885410785675,-1.7450007776898206,DOWN,0.16932357847690582,0.16611649096012115,0.16396625339984894,0.003207087516784668,0.1468329121388111,0.1465003284417443,0.14675888042545654,0.00033258369706681834,0.02252808026969433,-0.07157652080059052,-0.03779720515012741,0.09410460293292999,-0.04043851359992945,-0.08572202964431752,-0.075493438655031,0.04528351604438807,0.06296659260988235,0.014145508408546448
123,124,9,13,BM,bottom,0.11349866539239883,-2.055491574773406,UP,0.1550685316324234,0.1513715237379074,0.1498340666294098,0.003697007894515991,0.11218655653231938,0.11192215373809615,0.1121276973888744,0.00026440279422322577,0.025984080508351326,-0.06831461936235428,-0.034301839768886566,0.09429869800806046,-0.03275347922792804,-0.07803699527231567,-0.06780840428302914,0.04528351604438763,0.058737561106681824,0.009722374379634857
125,4,8,10,BM,bottom,0.4878711402416229,-0.04852495020260919,RIGHT,0.4646528959274292,0.45995843410491943,0.45626622438430786,0.004694461822509766,0.4845109215876243,0.48266647425565157,0.48371504467335946,0.001844447331972754,0.014379208907485008,-0.10317770391702652,-0.058013349771499634,0.11755691468715668,-0.013381669945991007,-0.11917493770155899,-0.08236184911272193,0.10579326775556798,0.027760878205299377,0.015997231006622314
125,5,9,10,BM,bottom,0.483465313911438,-0.066162869398816,RIGHT,0.46211808919906616,0.45802414417266846,0.45371177792549133,0.004093945026397705,0.48012900316961465,0.47828575973424486,0.47933363110364546,0.0018432434353697902,0.01481979712843895,-0.10319861769676208,-0.057817138731479645,0.11801841855049133,-0.012945109453549278,-0.1187383772091172,-0.0819252886202802,0.10579326775556792,0.027764905244112015,0.015539757907390594
187,170,8,10,BM,bottom,0.1833505928516388,-1.4938097983039307,RIGHT,0.20009808242321014,0.19419226050376892,0.1934068202972412,0.005905821919441223,0.18242036822161775,0.1813214159744501,0.18194557075285595,0.0010989522471676616,0.04562462121248245,-0.0678667351603508,-0.02326902747154236,0.11349135637283325,0.02239093213857868,-0.08340233561698929,-0.04658924702815326,0.10579326775556797,0.02323368936777115,0.015535600483417511
123,125,9,12,BM,bottom,0.11218655854463577,-2.0685984658284675,DOWN,0.15488384664058685,0.1503705084323883,0.14933918416500092,0.004513338208198547,0.11112162959753528,0.11073740378681785,0.11099281753395114,0.00038422581071743955,0.03305353224277496,-0.06599287688732147,-0.029433494433760643,0.09904640913009644,-0.012205362902860006,-0.07666747160401588,-0.05960771798976827,0.06446210870115587,0.04525889456272125,0.010674595832824707
124,59,9,14,BM,bottom,0.2786318063735962,-0.9512584057686049,STAY,0.252306193113327,0.252610445022583,0.24696215987205505,-0.00030425190925598145,0.2745860933232497,0.2743737540048773,0.27457289171609484,0.00021233931837238984,-0.0017910576425492764,-0.08841095864772797,-0.0575731098651886,0.08661989867687225,-0.07632442713991283,-0.10536814304936848,-0.10041789367374387,0.029043715909455647,0.0745333656668663,0.01695718616247177
175,7,8,10,BM,bottom,0.48466524481773376,-0.061358256828220395,UP,0.5038824677467346,0.4961974620819092,0.4947699010372162,0.0076850056648254395,0.4813223739912155,0.4794787745949199,0.48052685231121484,0.0018435993962956365,0.038519732654094696,-0.09243697673082352,-0.037710800766944885,0.1309567093849182,-0.01306402960543783,-0.11885729736100577,-0.08204420877216874,0.10579326775556794,0.05158376321196556,0.026420317590236664
